Category,Description
Eating out,THE PORTERHOUSE        LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,MEGAN?S ON THE HILL    LONDON  SW12  GBR
Eating out,THE AVALON PUB         LONDON        GBR
Eating out,MCDONALDS              LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Shopping,SONY STORE ONLINE GB   INTERNET      GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,WAITROSE               BALHAM        GBR
Groceries,SAINSBURYS             LONDON        GBR
Shopping,TK MAXX                LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Bills,EE TOPUP  VESTA        EE.CO.UK      GBR
Groceries,SAINSBURYS             LONDON        GBR
Bills,Rent
Bills,Wifi+H2O+CouncilT
Transfers,Monzo
Transfers,Freetrade Limited
Shopping,thule.com/en-gb        HAVERHILL     GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Personal care,SUPERDRUG STORES PLC   BALHAM        GBR
Entertainment,Resident Advisor
Entertainment,Brixton Jamm           London        GBR
Entertainment,Brixton Jamm           London        GBR
Entertainment,Brixton Jamm           London        GBR
Eating out,MCDONALDS              LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Bills,A-E9AB9D28-001
Groceries,LEBANESE MEZA          LONDON        GBR
Groceries,AMELIA'S BAKE HOUS Ealing        GBR
Eating out,THE EXHIBIT            LONDON  SW12  GBR
Eating out,THE EXHIBIT            LONDON  SW12  GBR
Shopping,TK MAXX                LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Entertainment,Yandisa Founda London        GBR
Bills,APPLE.COM/BILL         08001076285   IRL
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transfers,WWW.SCOTTCOUNTRY.CO.UK INTERNET      GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transfers,Sent from Revolut
Eating out,WEST KENSINGTO London        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Entertainment,PYD*Duke of Battersea  London        GBR
Entertainment,PYD*Duke of Battersea  London        GBR
Entertainment,PYD*Duke of Battersea  London        GBR
Eating out,KAYANI GRILL           LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,Uber UK Eats           London        GBR
Bills,TV Licensing
Personal care,SUPERDRUG STORES PLC   BALHAM        GBR
Bills,EE LONDON BALHAM       LONDON        GBR
Bills,EE LIMITED             HATFIELD      GBR
Personal care,BOOTS 0871             BALHAM        GBR
Holidays,Booking.com
Transport,Trainline              London        GBR
Transport,Trainline
Eating out,CAFFE NERO 132 GATWICK GATWICK AIRPO GBR
Eating out,Arli Event ApS Kobenhavn K   DNK
Eating out,Buka ApS               Koebenhavn k  DNK
Groceries,121 Lagkagehuset       Koebenhavn k  DNK
Eating out,ChristmasEvent Kobenhavn K   DNK
Eating out,HOPPES COCKTAIL        KØBENHAVN K   DNK
Eating out,DEN GRØNLANDSKE        KØBENHAVN K   DNK
Entertainment,Tivoli AS FB           Koebenhavn v  DNK
Eating out,Tivoli AS FB           Koebenhavn v  DNK
Entertainment,Broennum               Koebenhavn k  DNK
Entertainment,Rosenborg              Kobenhavn K   DNK
Eating out,SANAA CHURROS          JONKOPING     SWE
Transport,DSB Koebenhavn H AUT   Koebenhavn v  DNK
Eating out,271 Lagkagehuset       Kastrup       DNK
Groceries,WH-SMITH 83 T3         KASTRUP       DNK
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Shopping,HOLLISTER              UK            GBR
Shopping,Nike GBP               +440207660445 GBR
Groceries,SAINSBURYS             LONDON        GBR
Eating out,WALRUS AND CARPENTER   LONDON        GBR
Eating out,WALRUS AND CARPENTER   LONDON        GBR
Eating out,MCDONALDS              LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Shopping,Hamleys Regent Street  London        GBR
Eating out,SHAKE SHACK - COVENTRY LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Personal care,SUPERDRUG STORES PLC   BALHAM        GBR
Eating out,PLANET ORGANIC BAL     LONDON        GBR
Shopping,HOLLISTER CO REGENT ST LONDON        GBR
Bills,Council Tax
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Shopping,HOLLISTER CO REGENT ST\83-97 REGENT STREET\LONDON\W1B 4EW   GBRGBR
Groceries,SAINSBURYS- BANBURY    BANBURY       GBR
Entertainment,TICKETS 86015882       +441159129192 GBR
Entertainment,See Tickets
Entertainment,See Tickets
Groceries,SAINSBURYS             LONDON        GBR
Bills,Rent
Bills,Wifi+H2O+CouncilT
Transfers,Monzo
Transfers,ISA
Entertainment,DUKE OF WELLINGTON     LONDON SW1W   GBR
Entertainment,DUKE OF WELLINGTON     LONDON SW1W   GBR
Eating out,Bleecker       E1 6PJ        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,SAINSBURYS             LONDON        GBR
Eating out,GAILS - BALHAM         LONDON        GBR
Eating out,DINES* FEUER BOWLE WW  LONDON        GBR
Entertainment,WINTER WONDERLAND      LONDON        GBR
Entertainment,WINTER WONDERLAND      LONDON        GBR
Eating out,Bavarian Village       London        GBR
Entertainment,WINTER WONDERLAND      LONDON        GBR
Entertainment,WINTER WONDERLAND      LONDON        GBR
Bills,A-E9AB9D28-001
Bills,Octopus Energy
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Entertainment,Winter Wonderland
Transport,LHR T3 WDF MAIN        TERMINAL 3    GBR
Groceries,HEATHROW T3            HEATHROW T3   GBR
Eating out,PRET A MANGER          HOUNSLOW      GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,Checkers Fresh X Sitar SB083549      ZAF
Eating out,THE LOCAL EATERY AT KE Somerset West ZAF
Eating out,Seattle Somerset West  Western Cape  ZAF
Shopping,Refinery Somerset West WC            ZAF
Personal care,MANI PEDI SOMERSET7846 SOMERSET MAL  ZAF
Personal care,Dischem Somerset Mall  WC            ZAF
Groceries,AMPED SPORT SANCTUARY  CT            ZAF
Entertainment,Winter Wonderland
Entertainment,Carousel Bars
Entertainment,Winter Wonderland
Entertainment,Winter Wonderland
Entertainment,Winter Wonderland
Groceries,Checkers Fresh X Sitar SB083549      ZAF
Eating out,THE LOCAL EATERY AT KE Somerset West ZAF
Bills,APPLE.COM/BILL         08001076285   IRL
Transport,SHELL ZEEZICHT MOTORS  Somerset West ZAF
Eating out,BOTANICUM AT MORGENSTE RWOODSTOCK    ZAF
Eating out,Bavarian Village
Shopping,AGRIMARK SITARI         SOMERSET WES ZAF
Eating out,BR1124 CNA SITARI VILL Somerset West ZAF
Groceries,TIME BY TRIGG SOMERSET CAPE TOWN     ZAF
Shopping,SORBET SOMERSET MALL   CAPE TOWN     ZAF
Eating out,TIGERS MILK SOMERSET W CAPETOWN      ZAF
Groceries,PnP Crp Waterstone Vll Somerset West ZAF
Eating out,MCD Waterstone Vi(0423 Somerset West ZAF
Personal care,178 ON MANE             SOMERSET WES ZAF
Personal care,DRS LOURENS EN DE WI   SOMERSET WEST ZAF
Groceries,Checkers Fresh X Sitar SB083549      ZAF
Entertainment,YELLOW TOAST           PRETORIA      ZAF
Eating out,BLAAUWKLIPPEN VINE9771 STELLENBOSCH  ZAF
Eating out,STADIUM EVENTS         PRETORIA      ZAF
Eating out,BLAAUWKLIPPEN VINE9771 STELLENBOSCH  ZAF
Eating out,THE LOCAL EATERY AT KE Somerset West ZAF
Personal care,Dischem Sitari Fields  WC            ZAF
Groceries,Checkers Fresh X Sitar SB083549      ZAF
Eating out,THE LOCAL EATERY AT KE Somerset West ZAF
Transport,SHELL FIRGROVE         Somerset West ZAF
Shopping,Dischem Sitari Fields  WC            ZAF
Groceries,Checkers Fresh X Sitar SB083549      ZAF
Groceries,Liquor Shop Sitari     SB060634      ZAF
Groceries,WOOLWORTHS             SITARI        ZAF
Shopping,PEP 6479 Somerset West WC            ZAF
Shopping,COTTON ON SOMERSET MAL SOMERSET      ZAF
Eating out,BOOTLEGGER BAKOVEN      SEA POINT    ZAF
Eating out,CAFE CAPRICE           CAMPS BAY     ZAF
Eating out,THE LOCAL EATERY AT KE Somerset West ZAF
Groceries,Liquor Shop Sitari     SB060634      ZAF
Groceries,WOOLWORTHS             SITARI        ZAF
Groceries,Checkers Fresh X Sitar SB083549      ZAF
Personal care,Dischem Sitari Fields  WC            ZAF
Eating out,THE LOCAL EATERY AT KE Somerset West ZAF
Bills,Phone
Groceries,SCHOON BRIGHT STREET   Somerset West ZAF
Bills,Rent
Bills,Wifi+H2O+CouncilT
Transfers,Monzo
Transfers,ISA
Eating out,GIOVANNIS EIKENDAL     Krigeville    ZAF
Personal care,CMPA Heldervue Pharmac Heldervue     ZAF
Groceries,KwikSpar Heldervue 2   Western Cape  ZAF
Groceries,SHELL ROBERTSON CONV C Robertson     ZAF
Eating out,GUANO CAVE              MONTAGU      ZAF
Personal care,CMPA Robertson Apteek  Western Cape  ZAF
Personal care,CMPA Robertson Apteek  Western Cape  ZAF
Groceries,SuperSpar Robertson    Western Cape  ZAF
Groceries,PLATFORM 62            ASHTON        ZAF
Groceries,PLATFORM 62            ASHTON        ZAF
Eating out,GUANO CAVE              MONTAGU      ZAF
Groceries,PLATFORM 62            ASHTON        ZAF
Groceries,PLATFORM 62            ASHTON        ZAF
Transport,ENGEN CROYDON          Somerset West ZAF
Bills,APPLE.COM/BILL         08001076285   IRL
Eating out,TIGERS MILK SOMERSET W CAPETOWN      ZAF
Transport,ENGEN CROYDON          Somerset West ZAF
Groceries,SHELL UC RIVIERSONDERE CAPE TOWN     ZAF
Eating out,OU MEUL RIVERSDAL       RIVIERSONDER ZAF
Transport,YORK FILLING STATION   UN            ZAF
Eating out,ROLANDALE  RESTAUR6219 SWELLENDAM    ZAF
Bills,TV Licensing
Transport,UBER * PENDING         help.uber.com NLD
Eating out,HASKELL VINEYARDS(PTY) Stellenbosch  ZAF
Eating out,HASKELL VINEYARDS(PTY) Stellenbosch  ZAF
Eating out,IKH*Thirsty Scarecrow/ CAPE TOWN     ZAF
Transport,UBER * PENDING         help.uber.com NLD
Transport,UBER * PENDING         help.uber.com NLD
Eating out,CRUMBS AND CREAM (PTY) Cape Town     ZAF
Eating out,LAMB ROLLA             Cape Town     ZAF
Groceries,Yoco   *VA Store Las P Cape Town     ZAF
Shopping,ZARA WATERFRONT 132861 3CAPE TOWN    ZAF
Eating out,Yoco   *High Regards   Cape Town     ZAF
Eating out,TALLAHASSEE SPUR  1308 SOMERSET WES  ZAF
Shopping,COTTON ON SOMERSET MAL SOMERSET      ZAF
Shopping,POLO SOMERSET MALL CAP GAUTENG       ZAF
Shopping,Somerset Timbers       Western Cape  ZAF
Shopping,Brights Blackheath     Kuils River   ZAF
Groceries,Yoco   *LEKKER LEKKER  Cape Town     ZAF
Shopping,BUILD IT SOMERSET WEST CAPE TOWN     ZAF
Shopping,Somerset Timbers       Western Cape  ZAF
Bills,Gym
Personal care,THAI SABAI DAY SPA SKI SOMERSET WEST ZAF
Shopping,V A WATERFRONT         Cape Town     ZAF
Holidays,VIR ATL                London        GBR
Groceries,Spar De Helderbosch    Western Cape  ZAF
Groceries,NICE ICE 1             STRAND        ZAF
Groceries,BILTONG MASTER         SOMERSET WEST ZAF
Groceries,WOOLWORTHS             WATERSTONE    ZAF
Eating out,WOOLWORTHS             WATERSTONE    ZAF
Eating out,MORGENSTER 1711         SOMERSET WES ZAF
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Entertainment,Rugby Football Union
Eating out,JOE and THE JUICE UK L London        GBR
Shopping,myprotein              INTERNET      GBR
Shopping,myprotein              INTERNET      GBR
Bills,Rent
Bills,Wifi+H2O+CouncilT
Transfers,Monzo
Transfers,Savings Account
Entertainment,Theater
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Personal care,SAINSBURYS             LONDON        GBR
Personal care,SUPERDRUG STORES PLC   BALHAM        GBR
Personal care,BOOTS UK ECOMM         BEESTON       GBR
Entertainment,F1 Arcade
Eating out,The Regent             London        GBR
Eating out,NANDOS.CO.UK           +442083946730 GBR
Eating out,Drinks
Eating out,The Regent
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Bills,APPLE.COM/BILL         www.apple.com IRL
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Entertainment,THE AVALON PUB         LONDON        GBR
Entertainment,THE AVALON PUB         LONDON        GBR
Entertainment,THE AVALON PUB         LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Shopping,WOOLWORTHS ONLINE      Cape Town     ZAF
Bills,TV Licensing
Shopping,M&S SIMPLY FOOD - SSP  M/BONE STN    GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,BANBURY   CASTLE QUAY  BANBURY       GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Personal care,BOOTS 0871             BALHAM        GBR
Shopping,TK MAXX                LONDON        GBR
Eating out,Hopper Coffee  London        GBR
Eating out,GAILS - BALHAM         LONDON        GBR
Shopping,TK MAXX                LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Bills,Freetrade Limited
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,HOLLAND AND BARRETT    LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,SAINSBURYS             LONDON        GBR
Eating out,Hopper Coffee  London        GBR
Eating out,Craft and Bec Coffee   London        GBR
Eating out,MARQUIS OF WESTMINSTER WESTMINSTER   GBR
Eating out,PLANET ORGANIC BAL     LONDON        GBR
Bills,Energy
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS             LONDON        GBR
Eating out,Marquis Of Westminster
Bills,Rent
Bills,Wifi+H2O+CouncilT
Transfers,Monzo
Transfers,Investment Account
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,SAINSBURYS             LONDON        GBR
Eating out,GAILS - BALHAM         LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,Coat & Badge           London        GBR
Eating out,Coat & Badge           London        GBR
Eating out,Coat & Badge           London        GBR
Eating out,Coat & Badge           London        GBR
Eating out,What A Chicken         London        GBR
Eating out,MCDONALDS              LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,The Little Orange Door London        GBR
Eating out,ALEXANDRA              CLAPHAM       GBR
Entertainment,Devonshire             London        GBR
Groceries,BALHAM FOOD AND WINE   LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,GAILS - BALHAM         LONDON        GBR
Eating out,Hopper Coffee  London        GBR
Groceries,SAINSBURYS             LONDON        GBR
Bills,Subscription
Bills,FOXTONS                LONDON        GBR
Bills,Direct debit
Bills,FOXTONS                LONDON        GBR
Bills,A-E9AB9D28-001
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,trainline              +443332022222 GBR
Bills,APPLE.COM/BILL         08001076285   IRL
Eating out,COSTA COFFEE 43011713  WOKING        GBR
Eating out,GAILS - BALHAM         LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Bills,Octopus Energy
Eating out,Over Under Coffee      London        GBR
Entertainment,Battersea Brewery      London        GBR
Entertainment,BIRDIES BATTERSEA      LONDON        GBR
Entertainment,BIRDIES BATTERSEA      LONDON        GBR
Eating out,MCDONALDS              LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,Hopper Coffee  London        GBR
Bills,Monthly payment
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Bills,Cleaning
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS             LONDON        GBR
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Eating out,Brodiea
Eating out,Le Bab
Entertainment,Birdies
Groceries,TESCO STORES 2445      ELMERS END    GBR
Shopping,AMAZON UK RETAIL       WWW.AMAZON.CO LUX
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,CRABTREE               FULHAM        GBR
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Bills,TV
Transfers,Sent from Revolut
Holidays,Cornwall Accomodation
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Bills,Bills
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Shopping,Amazon
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Eating out,CLAPHAM WEST CORNWALL  LONDON        GBR
Groceries,SAINSBURYS - EAST CROY CROYDON       GBR
Transfers,Monzo
Shopping,TK MAXX                LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,HOLLAND AND BARRETT    LONDON        GBR
Eating out,BREWDOG RETAIL LTD.    +441358724924 GBR
Eating out,BREWDOG RETAIL LTD.    +441358724924 GBR
Entertainment,F1 Arcade              London        GBR
Entertainment,F1 Arcade              London        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Transfers,Vanguard
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Bills,A-E9AB9D28-001
Bills,Octopus Energy
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Bills,Freetrade              London        GBR
Bills,Freetrade Limited
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,NISA LOCAL             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,SHELL Horton Cross     Ilminster     GBR
Eating out,Riviere Sands - Comple Cornwall      GBR
Groceries,ASDA STORES 4844       HAYLE         GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Shopping,SP SILVERORIGINS       TRURO         GBR
Groceries,ROLY'S FUDGE PANTR Marazion      GBR
Eating out,PORTHMEOR BEACH CAFE   PENZANCE TR26 GBR
Bills,APPLE.COM/BILL         08001076285   IRL
Entertainment,PORTHMEOR SURF         ST IVES TR26  GBR
Groceries,PORTHMEOR BEACH SHOP   PENZANCE TR26 GBR
Groceries,CO-OP GROUP FOOD RETAI PENZANCE      GBR
Eating out,The Copper Spoon Ltd   Marazion      GBR
Groceries,ROLY'S FUDGE PANTR Marazion      GBR
Eating out,TINY TASTING ROOM      EXETER        GBR
Eating out,BURGER KING AMESBURY   SALISBURY     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Bills,Access Balham
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,Dropshot Coffe Southfields   GBR
Eating out,PRET A MANGER          LONDON.       GBR
Entertainment,PUTT IN THE PARK W London        GBR
Entertainment,PUTT IN THE PARK W London        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,TESCO STORES 5510      SOUTH NORWOOD GBR
Transport,UBER   * PENDING       London        GBR
Groceries,MARKS&SPENCER PLC SF   LONDON        GBR
Bills,Freetrade Limited
Bills,Rent
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,MARKS&SPENCER PLC SF   LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,THE ATLAS              LONDON  SW6   GBR
Entertainment,The Prince             London        GBR
Entertainment,The Prince             London        GBR
Groceries,TESCO STORES  6673     LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transfers,Sent from Revolut
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Groceries,MARKS&SPENCER PLC SF   LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,THE PIG AND WHISTLE    LONDON        GBR
Eating out,THE PIG AND WHISTLE    LONDON        GBR
Eating out,THE PARK TAVERN        LONDON  SW18  GBR
Eating out,THE PARK TAVERN        LONDON  SW18  GBR
Groceries,SHREE MART LTD         London        GBR
Eating out,WANDLE (EARLSFIELD     EARLSFIELD    GBR
Eating out,WANDLE (EARLSFIELD     EARLSFIELD    GBR
Groceries,MARKS&SPENCER PLC SF   LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Eating out,GAILS - EARLSFIELD     LONDON        GBR
Eating out,KFC EARLSFIELD         LONDON        GBR
Eating out,LS Kanada-Ya           London        GBR
Eating out,Bilmonte               London        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,DISHOOM - KENSINGTON   LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS             LONDON        GBR
Bills,Phone
Groceries,TESCO STORES  6673     LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,GAILS SOUTHFIELDS      LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Groceries,MARKS&SPENCER PLC SF   LONDON        GBR
Groceries,TESCO STORES  6673     LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Entertainment,PYD*DUKEOFHAMMERSMITH  London        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,TESCO STORES  6673     LONDON        GBR
Holidays,THE VICTORIA LONDON    LONDON  SW8   GBR
Entertainment,VENN STREET RECORDS    London        GBR
Entertainment,VENN STREET RECORDS    London        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,"CHANTEROY LIMI Wimbledon, Lo GBR"
Eating out,SAMAIA GEORGIAN RESTAU LONDON        GBR
Eating out,Dinner
Groceries,MARKS&SPENCER PLC SF   LONDON        GBR
Eating out,"CHANTEROY LIMI Wimbledon, Lo GBR"
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transfers,Monzo
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,DeRosier Chocolate & C London        GBR
Groceries,PJ FRANKLAND BUTCHERS  LONDON        GBR
Groceries,LONDIS                 LONDON  SW18  GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,TESCO STORES  6673     LONDON        GBR
Groceries,MARKS&SPENCER PLC SF   LONDON        GBR
Groceries,Krystals Food market ( London        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS             LONDON        GBR
Eating out,"CHANTEROY LIMI Wimbledon, Lo GBR"
Bills,Freetrade              London        GBR
Bills,Freetrade              London        GBR
Eating out,WANDLE (EARLSFIELD     EARLSFIELD    GBR
Eating out,WANDLE (EARLSFIELD     EARLSFIELD    GBR
Eating out,DeRosier Chocolate & C London        GBR
Eating out,Hopper Coffee  London        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Groceries,WAITROSE               LONDON        GBR
Eating out,Al Gusto               London        GBR
Eating out,Al Gusto               London        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Shopping,ZARA LON BATTERSEA     LONDON        GBR
Eating out,The Black Cab  London        GBR
Entertainment,SOUTHBANK CLUB         VAUXHALL SW8  GBR
Eating out,COFFEE
Entertainment,Squash
Bills,APPLE.COM/BILL         08001076285   IRL
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Entertainment,VAGABOND WINES LTD London        GBR
Entertainment,VAGABOND WINES LTD London        GBR
