Category,Description
Entertainment,PUTT IN THE PARK
Transport,TFL TRAVEL 
Groceries,TESCO STORES
Transport,UBER PENDING 
Groceries,MARKSSPENCER
Bills,Freetrade Limited
Bills,Rent
Transport,TFL TRAVEL 
Groceries,MARKSSPENCER
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Eating out,THE ATLAS SW6
Entertainment,The Prince 
Entertainment,The Prince 
Groceries,TESCO STORES
Transport,TFL TRAVEL 
Transfers,Sent from Revolut
Eating out,THE CUMBERLAND ARMS W14
Groceries,MARKSSPENCER  SF
Transport,TFL TRAVEL 
Eating out,THE PIG AND WHISTLE
Eating out,THE PIG AND WHISTLE
Eating out,THE PARK TAVERN SW18
Eating out,THE PARK TAVERN SW18
Groceries,SHREE MART  
Eating out,WANDLE EARLSFIELD EARLSFIELD
Eating out,WANDLE EARLSFIELD EARLSFIELD
Groceries,MARKSSPENCER  SF
Groceries,SAINSBURYS
Eating out,GAILS EARLSFIELD
Eating out,KFC EARLSFIELD
Eating out,LS KanadaYa 
Eating out,Bilmonte 
Transport,TfL Travel Charge 
Eating out,DISHOOM KENSINGTON
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Bills,Phone
Groceries,TESCO STORES
Transport,TFL TRAVEL 
Eating out,GAILS
Groceries,SAINSBURYS
Groceries,MARKSSPENCER 
Groceries,TESCO STORES
Transport,TFL TRAVEL 
Entertainment,PYDDEOFHAMMERSMITH 
Transport,TfL Travel Charge 
Groceries,TESCO STORES
Holidays,THE VICTORIA
Entertainment,VENN STREET RECORDS 
Entertainment,VENN STREET RECORDS 
Transport,TFL TRAVEL 
Eating out,CHANTEROY LIMI
Eating out,SAMAIA GEORGIAN
Eating out,Dinner
Groceries,MARKSSPENCER  SF
Eating out,CHANTEROY LIMI Wimbledon Lo
Transport,TFL TRAVEL 
Transfers,Monzo
Transport,TFL TRAVEL 
Eating out,DeRosier Chocolate C 
Groceries,PJ FRANKLAND BUTCHERS
Groceries,LONDIS SW18
Transport,TfL Travel Charge 
Groceries,TESCO STORES
Groceries,MARKSSPENCER  SF
Groceries,Krystals Food market 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Eating out,CHANTEROY LIMI Wimbledon Lo
Bills,Freetrade 
Bills,Freetrade 
Eating out,WANDLE EARLSFIELD EARLSFIELD
Eating out,WANDLE EARLSFIELD EARLSFIELD
Eating out,DeRosier Chocolate C 
Eating out,Hopper Coffee 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Groceries,WAITROSE
Eating out,Al Gusto 
Eating out,Al Gusto 
Transport,TfL Travel Charge 
Shopping,ZARA LON BATTERSEA
Eating out,The Black Cab 
Entertainment,SOUTHBANK CLUB VAUXHALL
Eating out,COFFEE
Entertainment,Squash
Bills,APPLE
Transport,TFL TRAVEL 
Entertainment,VAGABOND WINES  
Entertainment,VAGABOND WINES  
Entertainment,VAGABOND WINES  
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Eating out,Chiringuito 
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Shopping,Battersea Flower Stati 
Entertainment,SOUTHBANK CLUB VAUXHALL
Transport,TfL Travel Charge 
Shopping,AMAZON EU AMAZONCO
Shopping,Amazonco AMAZONCO
Transport,TFL TRAVEL 
Eating out,Curtains Up 
Entertainment,Southbank Club
Groceries,Sainsburys
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Bills,Freetrade Limited
Transport,TfL Travel Charge 
Bills,PureGym Limited Leeds
Groceries,SAINSBURYS 
Groceries,CAFEXPRESSOP 
Groceries,Sainsburys
Shopping,Festival Of Fun
Groceries,182A Supermarket  
Transport,TFL TRAVEL 
Entertainment,FREEMANS EVENT PARTNER HARDWICKE
Transport,TfL Travel Charge 
Eating out,The Black Cab 
Eating out,The Black Cab
Transport,TFL TRAVEL 
Shopping,ARGOS  
Transport,TFL TRAVEL 
Entertainment,WWWBETTERORG HIGH WYCOMBE
Transport,TfL Travel Charge 
Entertainment,DESIGNMYNIGHT
Eating out,LOST SOCIETY
Bills,Electricity
Transport,TFL TRAVEL 
Groceries,Sainsburys
Shopping,Amazon
Shopping,NIKE BATTERSEA 
Shopping,Capital Golf  
Entertainment,MAPLE LEAF COVENT GDN
Eating out,DINES BETWEEN THE BRI
Eating out,DINES BETWEEN BRIDGES
Transport,TfL Travel Charge 
Transport,trainline
Eating out,Lucky Beach Hove
Transport,Trainline 
Transport,TfL Travel Charge 
Holidays,WZ AIR  LIMITED
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Holidays,Wz Air
Transfers,Monzo
Bills,Rent
Transport,TFL TRAVEL 
Holidays,Flights
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Eating out,PYDBrewDog Waterloo 
Eating out,PYDBrewDog Waterloo 
Eating out,PYDBrewDog Waterloo 
Transport,TFL CYCLE HIRE
Transport,TFL TRAVEL 
Transport,TFL CYCLE HIRE
Transport,TFL CYCLE HIRE
Bills,Council and TV
Transport,TFL TRAVEL 
Holidays,Accomodation
Shopping,ARGOS  
Transport,TFL CYCLE HIRE
Transport,TFL TRAVEL 
Transport,TFL CYCLE HIRE
Transport,TFL CYCLE HIRE
Transport,TfL Travel Charge 
Personal care,Dirty Laundry 
Personal care,Dirty Laundry
Transport,Train
Transport,TFL CYCLE HIRE
Bills,apple 
Transport,TFL TRAVEL 
Eating out,KIA Oval Birmingham
Eating out,Piglets Pantry Worthing
Eating out,KIA Oval Birmingham
Eating out,Piglets Pantry Worthing
Transport,TFL CYCLE HIRE
Groceries,TESCOSTORES
Groceries,SAINSBURYS 
Eating out,SEED MARKETING LIM 
Bills,Foxtons
Bills,Foxtons
Bills,EDF Energy
Bills,EDF Energy
Bills,NOW TV
Shopping,NIKE BATTERSEA 
Transport,AnyVan
Bills,EDF Energy
Groceries,SAINSBURYS 
Groceries,SUPERMERCADO BOM DIA CARVOEIRO PRT
Holidays,HOTEL PLAZA CARVOEIRO CARVOEIRO PRT
Transport,TfL Travel Charge 
Eating out,Taberna Portuguesa
Eating out,Rest O Patio
Transport,Uber
Transport,Uber
Holidays,Hotel Plaza Carvoeiro
Eating out,Cazuza Chiringuito
Eating out,GELATARIA LA PLAZZA CARVOEIRO PRT
Eating out,GARDEN RESTAURANTE CARV PRT
Groceries,SUPERMERCADO BOM DIA CARVOEIRO PRT
Eating out,ALL DAY DINING BB LAGOS PRT
Transport,Uber
Entertainment,Palmares Golf
Eating out,All Day Dining Bb
Eating out,All Day Dining Bb
Eating out,All Day Dining
Eating out,Garden Restaurante
Groceries,Supermercado Bom Dia
Eating out,BAR INDIGO LAGOS PRT
Eating out,COFFEE WAVES LAGO PRT
Eating out,THE GARDEN BAR GRILL LAGOS PRT
Eating out,A PETISQUEIRA LAGOS PRT
Eating out,A Petisqueira
Eating out,The Garden
Eating out,Bar Indigo
Eating out,Coffee Waves
Groceries,SPAR LAGOS LAGO PRT
Entertainment,BLACK AND WHITE LAGOS PRT
Entertainment,BLACK AND WHITE LAGOS PRT
Eating out,Coffee Waves
Entertainment,BLACK AND WHITE LAGOS PRT
Eating out,GELICIA LAGOS PRT
Entertainment,BEER E CO FARO PRT
Entertainment,BEER E CO FARO PRT
Eating out,MY SUSHI LAGOS LAGOS PRT
Eating out,THE GARDEN BAR GRILL LAGOS PRT
Bills,PureGym
Entertainment,BLACK AND WHITE LAGOS PRT
Transport,Uber
Eating out,Guanabana
Transport,Uber
Eating out,Bar Indigo
Eating out,The Garden
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Transport,Trainline 
Transport,LNER WEB SALES
Transport,TfL Travel Charge 
Groceries,SAINSBURYS 
Transport,Trainline
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Eating out,PRET A MANGER
Eating out,Thirteen Thirty One York
Eating out,BOBO LOBO YORK
Eating out,THE MIDDLE FEAST City Centre
Transport,TFL TRAVEL 
Groceries,SAINSBURYS YORK DAVYGA YORK
Shopping,Drakes
Eating out,DYLICIOUS LIMITED YORK YO1
Eating out,KINGS ARMS YORK
Eating out,The Kings Arms
Eating out,THE MIDDLE FEAST City Centre
Eating out,LUCKY DAYS YORK
Bills,Vanguard
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Transport,TfL Travel Charge 
Groceries,WH Smith Maryle NW1 6JJ LO
Transport,UBER PENDING 
Transport,UBER PENDING 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Personal care,QUEENSTOWN BARBER
Eating out,Curtains Up 
Groceries,SAINSBURYS 
Transport,TfL Travel Charge 
Transfers,Monzo
Bills,Rent
Groceries,SAINSBURYS 
Eating out,Pockets 
Entertainment,HORSE AND GUARDSMAN
Groceries,TESCOSTORES
Transport,TFL TRAVEL 
Transfers,Luno Money Limited
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Groceries,WOOLWORTHS ONLINE  
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Bills,apple 
Eating out,Disctrict
Entertainment,The Pear Tree
Entertainment,The Pear Tree
Transport,TFL GAS HOLDERS
Shopping,Cologne
Transport,TfL Travel Charge 
Bills,NOW TV
Transport,TFL TRAVEL 
Eating out,FLESH AND BUNS
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Transport,TfL Travel Charge 
Shopping,Amazon
Eating out,THE CUMBERLAND ARMS W14
Eating out,THE CUMBERLAND ARMS W14
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Eating out,Northcote 
Groceries,COOP GROUP PETROL
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Bills,Lambeth Council
Bills,TV Licensing
Groceries,SAINSBURYS 
Bills,PureGym
Transport,TFL TRAVEL 
Bills,EDF Energy
Transport,TfL Travel Charge 
Shopping,AMZNMKTPLACE AMAZONCO
Groceries,SAINSBURYS 
Eating out,Gourmet Coffee Bar K Crewe
Groceries,WH Smith Liverp L1 1JD LIM
Entertainment,The Black Toad Wirral
Groceries,SAINSBURYS SUPERMARKET WIRRAL
Eating out,THE ROLLING STOVE Hoylake
Entertainment,Bespoke Bar Company Carnoustie
Shopping,THE OPEN SHOP ST ANDREWS
Eating out,Absolute Taste  ta St Andrews
Transport,TFL TRAVEL 
Eating out,Absolute Taste  ta St Andrews
Entertainment,DINES MEET GREET
Groceries,DINES LOLAS FISH CHI
Groceries,NOBLES KITCHEN LT Hoylake
Entertainment,Bespoke Bar Company Carnoustie
Eating out,COSTA COFFEE LIVERPOOL
Groceries,SAINSBURYS 
Eating out,GAILS
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Shopping,Amazon
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Groceries,TESCO STORES
Transport,TfL Travel Charge 
Bills,TV Licensing
Bills,BT
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Eating out,HOP POLES
Groceries,SAINSBURYS 
Groceries,TESCO STORES
Shopping,Amazonco AMAZONCO
Transport,TFL TRAVEL 
Eating out,DE OF SUSSEX LAMBETH
Eating out,DE OF SUSSEX LAMBETH
Groceries,SAINSBURYS 
Transport,TfL Travel Charge 
Eating out,Coat Badge 
Eating out,YOUNGSCO
Groceries,LIDL GB
Eating out,REDBACK FULHAM
Transport,UBER PENDING 
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Transfers,Monzo
Bills,Rent
Transport,TFL TRAVEL 
Shopping,SPORTSDIRECTCOM
Transport,TfL Travel Charge 
Groceries,SAINSBURYS 
Personal care,SUPERDRUG STORES  FULHAM
Eating out,Cock Tavern 
Eating out,FIVE GUYS FULHAM
Entertainment,WWWBETTERORG
Transport,TFL TRAVEL 
Eating out,THE CUMBERLAND ARMS
Eating out,THE CUMBERLAND ARMS
Groceries,SAINSBURYS 
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Eating out,Windsor Castle
Eating out,Windsor Castle
Eating out,Windsor Castle
Transport,TfL Travel Charge 
Groceries,SAINSBURYS 
Eating out,Distric 
Shopping,Rituals Battersea 
Transport,TFL TRAVEL 
Eating out,BOUNCE BATTERSEA SW88
Transport,TFL TRAVEL 
Groceries,TESCO STORES
Bills,Rental
Bills,apple 
Transport,TFL TRAVEL 
Groceries,TESCO STORES
Eating out,FLESH AND BUNS
Transport,TfL Travel Charge 
Bills,EDF Energy
Groceries,SAINSBURYS 
Bills,EDF Energy
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Entertainment,The Pear Tree
Entertainment,The Pear Tree
Groceries,FOOD WINE
Bills,NOW TV
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Transport,TfL Travel Charge 
Entertainment,WWWBETTERORG HIGH WYCOMBE
Groceries,TESCO STORES
Groceries,SAINSBURYS 
Bills,Lambeth Council
Bills,TV Licensing
Eating out,Ship 
Eating out,Ship 
Eating out,MCDONALDS
Groceries,TESCO STORES
Transport,TFL TRAVEL 
Eating out,THE CUMBERLAND ARMS W14
Eating out,Riverside 
Bills,PureGym
Transport,TfL Travel Charge 
Groceries,TESCO STORES
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS 
Groceries,Cacao Nibs
Shopping,AMZNMktplace amazonco
Groceries,SAINSBURYS 
Transport,TFL TRAVEL 
Entertainment,WWWBETTERORG HIGH WYCOMBE
Transport,TfL Travel Charge 
Bills,BT
Groceries,TESCO STORES
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Transfers,Monzo
Entertainment,Theater
Bills,Thames Water
Bills,Vanguard
